Stock Code,Name of Listed Securities,Board Lot,Admitted to Central Clearing and Settlement System,Designated Securities eligible for shortselling,Admitted to Stock Options?,Admitted to Stock Futures
02689,ND PAPER,1,000,#,H, , 
02698,WEIQIAO TEXTILE,500,#,H, , 
02700,SMART UNION GP,2,000,#, , , 
02722,CHONGQING M&E,2,000,#,H, , 
02727,SH ELECTRIC,2,000,#,H, , 
02728,SHINHINT,4,000,#, , , 
02777,R&F PROPERTIES,400,#,H,O, 
02788,YORKEY OPTICAL,2,000,#, , , 
02866,CSCL,1,000,#,H, , 
02868,BJ CAPITAL LAND,2,000,#,H, , 
02877,SHINEWAY PHARM,1,000,#,H, , 
02878,SOLOMON SYSTECH,2,000,#,H, , 
02880,DALIAN PORT,2,000,#,H, , 
02882,HKRH,4,000,#,H, , 
02883,CHINA OILFIELD,2,000,#,H, , 
02888,STANCHART,50,#,H, , 
02889,CNR HOLDINGS,2,000,#, , , 
02898,LONGRUN TEA,10,000,#, , , 
02899,ZIJIN MINING,2,000,#,H,O, 
02947,CH YUNNAN-OLD,400,#, , , 
02953,UNITY INV-OLD,500,#, , , 
02958,21 HOLDINGS-OLD,1,000,#, , , 
02959,TONIC IND-OLD,200,#, , , 
02961,RUSAL-6000,6,000,#,H, , 
02962,DRAGONITE INT'L,50,#, , , 
02963,NEW ISLAND,20,000,#, , , 
02964,21 HOLDINGS RTS,10,000,#, , , 
02965,CASH FIN SER GP,10,000,#, , , 
03300,CHINA GLASS,2,000,#, , , 
03303,JUTAL OIL SER,2,000,#, , , 
03308,GOLDEN EAGLE,1,000,#,H, , 
03311,CHINA STATE CON,2,000,#,H, , 
03318,CHINA FLAVORS,2,000,#, , , 
03322,WIN HANVERKY,2,000,#, , , 
03323,CNBM,2,000,#,H, , 
03328,BANKCOMM,1,000,#,H,O,F
03330,LINGBAO GOLD,2,000,#,H, , 
03331,VINDA INT'L,1,000,#,H, , 
03333,EVERGRANDE,1,000,#,H, , 
03335,DBA TELECOM,4,000,#, , , 
03336,JU TENG INTL,2,000,#,H, , 
03337,ANTON OILFIELD,2,000,#, , , 
03339,LONKING,1,000,#,H, , 
03344,ADDCHANCE,2,000,#, , , 
03355,ASMC,2,000,#, , , 
03366,OCT (ASIA),2,000,#,H, , 
03368,PARKSON GROUP,500,#,H, , 
03377,SINO-OCEAN LAND,500,#,H, , 
03378,XIAMEN PORT,2,000,#,H, , 
03382,TIANJINPORT DEV,2,000,#,H, , 
03383,AGILE PROPERTY,2,000,#,H, , 
03389,HENGDELI,4,000,#,H, , 
03393,WASION GROUP,2,000,#,H, , 
03398,CHINA TING,2,000,#, , , 
03399,GD NY LOGISTICS,1,000,#, , , 
03618,CQRC BANK,1,000,#, , , 
03683,GREAT HARVEST,2,500,#, , , 
03800,GCL-POLY ENERGY,1,000,#, , , 
03808,SINOTRUK,500,#,H, , 
03813,POU SHENG INT'L,1,000,#,H, , 
03818,CHINA DONGXIANG,1,000,#,H, , 
03823,TECH PRO,2,000,#, , , 
03828,MING FAI INT'L,1,000,#,H, , 
03833,XINXIN MINING,1,000,#,H, , 
03838,CHINA STARCH,5,000,#,H, , 
03868,QX PAPER,1,000,#, , , 
03883,CHINA AOYUAN,1,000,#,H, , 
03886,TOWN HEALTH,4,000,#,H, , 
03888,KINGSOFT,1,000,#,H, , 
03889,GLOBAL SWEET,2,000,#,H, , 
03898,CSR TIMES ELEC,1,000,#,H, , 
03899,CIMC ENRIC,2,000,#, , , 
03900,GREENTOWN CHINA,500,#, , , 
03918,NAGACORP,2,000,#, , , 
03928,ZHENGZHOU GAS,1,000,#, , , 
03933,UNITED LAB,2,000,#,H, , 
03938,SAMLING GLOBAL,2,000,#, , , 
03968,CM BANK,500,#,H,O,F
03983,CHINA BLUECHEM,2,000,#,H, , 
03988,BANK OF CHINA,1,000,#,H,O,F
03989,NEW ENV ENERGY,2,000,#, , , 
03993,CMOC,1,000,#,H, , 
03998,BOSIDENG,2,000,#,H, , 
03999,DACHAN FOOD,1,000,#, , , 
06210,VALE COMMON-DRS,50,#, , , 
06230,VALE PREF-DRS,50,#, , , 
