Stock Code,Name of Listed Securities,Board Lot,Admitted to Central Clearing and Settlement System,Designated Securities eligible for shortselling,Admitted to Stock Options?,Admitted to Stock Futures
00570,WINTEAM PHARMA,2,000,#,H, , 
00571,ESUN HOLDINGS,2,000,#, , , 
00572,CHINA PACKAGING,2,000,#, , , 
00573,TAO HEUNG HLDGS,1,000,#,H, , 
00575,REGENT PACIFIC,10,000,#, , , 
00576,ZHEJIANGEXPRESS,2,000,#,H, , 
00577,PAUL Y. ENG,2,000,#, , , 
00578,DYNAMIC ENERGY,10,000,#, , , 
00580,SUN.KING ELEC,2,000,#, , , 
00581,CHINA ORIENTAL,2,000,#,H, , 
00582,GREENFIELD CHEM,5,000,#, , , 
00583,SCMP GROUP,2,000,#, , , 
00585,IMAGI INT'L,8,000,#, , , 
00587,HUA HAN,4,000,#,H, , 
00588,BEIJING N STAR,2,000,#,H, , 
00589,PORTS,500,#,H, , 
00590,LUK FOOK HOLD,2,000,#,H, , 
00591,C HIGHPRECISION,1,000,#,H, , 
00592,BOSSINI INT'L,2,000,#, , , 
00593,QUALITY HEALTH,2,000,#, , , 
00595,AV CONCEPT HOLD,2,000,#, , , 
00596,INSPUR INT'L,5,000,#,H, , 
00597,CHINA RES MICRO,5,000,#, , , 
00598,SINOTRANS,1,000,#,H, , 
00599,E. BON HOLDINGS,2,000,#, , , 
00600,CHINA INFRA INV,2,000,#, , , 
00601,GROUP SENSE,2,000,#, , , 
00602,JIAHUA STORES H,2,500,#, , , 
00603,CHINA OIL & GAS,20,000,#,H, , 
00604,SHENZHEN INVEST,2,000,#,H, , 
00605,KPI COMPANY,2,000,#, , , 
00606,CHINA AGRI,1,000,#,H, , 
00607,WARDERLY,2,500,#, , , 
00608,HIGH FASHION,2,000,#, , , 
00609,TIANDE CHEMICAL,4,000,#, , , 
00610,WAI KEE HOLD,2,000,#, , , 
00611,TACK HSIN HOLD,2,000,#, , , 
00612,CHINA INV FUND,4,000,#, , , 
00613,YUGANG INT'L,2,000,#, , , 
00616,EASYKNIT ENT,2,000,#, , , 
00617,PALIBURG HOLD,2,000,#, , , 
00618,EC-FOUNDER,2,000,#, , , 
00619,SOUTH CHINA FIN,50,000,#, , , 
00620,UDL HOLDINGS,40,000,#, , , 
00621,WING HING INT'L,10,000,#, , , 
00622,ENERCHINA HOLD,3,000,#, , , 
00623,SINOMEDIA,1,000,#,H, , 
00626,PUBLIC FIN HOLD,2,000,#,H, , 
00627,U-RIGHT INT'L,2,000,#, , , 
00628,DORE HOLDINGS,8,000,#, , , 
00629,YUE DA MINING,1,000,#, , , 
00630,GUOJIN RES,2,000,#, , , 
00631,SANY INT'L,1,000,#,H, , 
00632,PEARL ORIENTAL,1,000,#, , , 
00633,CH ALL ACCESS,2,000,#,H, , 
00635,PLAYMATES,2,000,#, , , 
00636,FUBON BK (HK),2,000,#,H, , 
00637,LEE KEE,2,000,#, , , 
00638,KIN YAT HOLD,2,000,#, , , 
00639,FUSHAN ENERGY,2,000,#,H, , 
00640,INFINITY CHEM,4,000,#, , , 
00641,FONG'S IND,2,000,#, , , 
00642,PALADIN PREF,10,000,#, , , 
00643,CARRY WEALTH,2,000,#, , , 
00645,KTP HOLDINGS,2,000,#, , , 
00646,YARDWAY,8,000,#, , , 
00647,JOYCE BOUTIQUE,2,000,#, , , 
00648,CHINA RENJI,2,000,#, , , 
00650,SHUN CHEONG,10,000,#, , , 
00651,CHI O SHIPBLDG,5,000,#, , , 
00653,BONJOUR HOLD,2,000,#,H, , 
00655,HK CHINESE LTD,2,000,#, , , 
00656,FOSUN INTL,500,#,H, , 
