@relation QueryResult_rsi14

@attribute Date date 'yyyy-MM-dd\'T\'HH:mm:ss'
@attribute Adj_C numeric
@attribute rsi14 numeric

@data
1987-09-10T00:00:00,3601,59.577395
1987-09-11T00:00:00,3660.5,65.246371
1987-09-14T00:00:00,3649.8,63.521129
1987-09-15T00:00:00,3646.9,63.034641
1987-09-16T00:00:00,3646.9,63.034641
1987-09-17T00:00:00,3571.4,51.195864
1987-09-18T00:00:00,3650,59.684855
1987-09-21T00:00:00,3668,61.343145
1987-09-22T00:00:00,3695.5,63.793473
1987-09-23T00:00:00,3763.1,68.995996
1987-09-24T00:00:00,3768.4,69.367635
1987-09-25T00:00:00,3840.1,73.921806
1987-09-28T00:00:00,3884.7,76.283777
1987-09-29T00:00:00,3859.5,72.299211
1987-09-30T00:00:00,3943.6,76.677497
1987-10-01T00:00:00,3949.7,76.961928
1987-10-02T00:00:00,3902.7,69.889535
1987-10-05T00:00:00,3947,72.458556
1987-10-06T00:00:00,3925.3,69.337792
1987-10-07T00:00:00,3936.1,70.029642
1987-10-09T00:00:00,3882.4,62.480646
1987-10-12T00:00:00,3900.2,63.870902
1987-10-13T00:00:00,3841.3,56.420854
1987-10-14T00:00:00,3844.5,56.716247
1987-10-15T00:00:00,3828.6,54.731123
1987-10-16T00:00:00,3783.2,49.412927
1987-10-19T00:00:00,3362.4,25.083763
1987-10-26T00:00:00,2241.7,10.398866
1987-10-27T00:00:00,2395.7,17.542579
1987-10-28T00:00:00,2370.2,17.296669
1987-10-29T00:00:00,2204.5,15.751511
1987-10-30T00:00:00,2204.5,15.751511
1987-11-02T00:00:00,2203.2,15.738718
1987-11-03T00:00:00,2180.5,15.501961
1987-11-04T00:00:00,2077.1,14.436647
1987-11-05T00:00:00,1960.9,13.328157
1987-11-06T00:00:00,2113.7,21.828133
1987-11-09T00:00:00,2139.3,23.187304
1987-11-10T00:00:00,2043.2,21.664512
1987-11-11T00:00:00,2075.3,23.472413
1987-11-12T00:00:00,2150.9,27.704263
1987-11-13T00:00:00,2226.7,31.777785
1987-11-16T00:00:00,2310.9,36.085848
1987-11-17T00:00:00,2290.4,35.498104
1987-11-18T00:00:00,2285.2,35.340865
1987-11-19T00:00:00,2257.6,34.468163
1987-11-20T00:00:00,2214.7,33.099965
1987-11-23T00:00:00,2141.7,30.855497
1987-11-24T00:00:00,2134.8,30.643981
1987-11-25T00:00:00,2184.4,34.139043
1987-11-26T00:00:00,2179.6,33.960686
1987-11-27T00:00:00,2194,35.056859
1987-11-30T00:00:00,2138.4,32.793461
1987-12-01T00:00:00,2108.6,31.615282
1987-12-02T00:00:00,2100.8,31.29832
1987-12-03T00:00:00,2057.4,29.524639
1987-12-04T00:00:00,1994.2,27.114878
1987-12-07T00:00:00,1894.9,23.824605
1987-12-08T00:00:00,1986.1,31.987485
1987-12-09T00:00:00,1985,31.943023
1987-12-10T00:00:00,2027.7,35.680428
1987-12-11T00:00:00,1989.6,33.89198
1987-12-14T00:00:00,2040.6,38.346815
1987-12-15T00:00:00,2080.6,41.667029
1987-12-16T00:00:00,2145.7,46.698083
1987-12-17T00:00:00,2142.2,46.466049
1987-12-18T00:00:00,2180.5,49.427362
1987-12-21T00:00:00,2278.1,56.092772
1987-12-22T00:00:00,2276.4,55.954438
1987-12-23T00:00:00,2325.6,59.098309
1987-12-24T00:00:00,2379.1,62.253413
1987-12-28T00:00:00,2286.8,54.449712
1987-12-29T00:00:00,2301.3,55.395657
1987-12-30T00:00:00,2292,54.612291
1987-12-31T00:00:00,2302.8,55.40104
1988-01-04T00:00:00,2286.3,53.861042
1988-01-05T00:00:00,2403.2,61.93434
1988-01-06T00:00:00,2463,65.281072
1988-01-07T00:00:00,2452.5,64.213525
1988-01-08T00:00:00,2460.7,64.699032
1988-01-11T00:00:00,2400.8,58.459796
1988-01-12T00:00:00,2442.4,61.254322
1988-01-13T00:00:00,2383.8,55.581979
1988-01-14T00:00:00,2411.5,57.581596
1988-01-15T00:00:00,2429.8,58.898051
1988-01-18T00:00:00,2512.2,64.274451
1988-01-19T00:00:00,2488.2,61.74123
1988-01-20T00:00:00,2484.3,61.318305
1988-01-21T00:00:00,2412.3,53.96843
1988-01-22T00:00:00,2422.4,54.787131
1988-01-25T00:00:00,2407.3,53.261931
1988-01-26T00:00:00,2426.1,54.943711
1988-01-27T00:00:00,2412.6,53.45621
1988-01-28T00:00:00,2412.7,53.46626
1988-01-29T00:00:00,2409.7,53.095867
1988-02-01T00:00:00,2358.3,47.078181
1988-02-02T00:00:00,2298.5,41.224289
1988-02-03T00:00:00,2354.5,47.77348
1988-02-04T00:00:00,2295.3,42.395404
1988-02-05T00:00:00,2292.6,42.162278
1988-02-08T00:00:00,2223.6,36.62031
1988-02-09T00:00:00,2223,36.575289
1988-02-10T00:00:00,2233.5,38.011526
1988-02-11T00:00:00,2256.5,41.154936
1988-02-12T00:00:00,2287.2,45.152901
1988-02-15T00:00:00,2301.8,46.997182
1988-02-16T00:00:00,2328,50.231348
1988-02-22T00:00:00,2347.2,52.517885
1988-02-23T00:00:00,2329.4,50.214559
1988-02-24T00:00:00,2336,51.071438
1988-02-25T00:00:00,2355.9,53.661175
1988-02-26T00:00:00,2383.9,57.101687
1988-02-29T00:00:00,2418.1,60.918509
1988-03-01T00:00:00,2454.7,64.553283
1988-03-02T00:00:00,2462.1,65.256858
1988-03-03T00:00:00,2468.5,65.887498
1988-03-04T00:00:00,2472.4,66.289059
1988-03-07T00:00:00,2470.4,65.860889
1988-03-08T00:00:00,2493.3,68.379352
1988-03-09T00:00:00,2551.8,73.714072
1988-03-10T00:00:00,2591.3,76.586405
1988-03-11T00:00:00,2595.5,76.87575
1988-03-14T00:00:00,2584.7,74.331952
1988-03-15T00:00:00,2578.9,72.936146
1988-03-16T00:00:00,2555,67.325848
1988-03-17T00:00:00,2581.3,70.055474
1988-03-18T00:00:00,2607.6,72.527127
1988-03-21T00:00:00,2602.8,71.369279
1988-03-22T00:00:00,2594.8,69.381232
1988-03-23T00:00:00,2561.9,61.761751
1988-03-24T00:00:00,2546.4,58.50207
1988-03-25T00:00:00,2501.4,50.215762
1988-03-28T00:00:00,2466.8,44.944499
1988-03-29T00:00:00,2521.6,53.30503
1988-03-30T00:00:00,2528.9,54.300597
1988-03-31T00:00:00,2544,56.372638
1988-04-06T00:00:00,2556.6,58.080611
1988-04-07T00:00:00,2623.1,65.71051
1988-04-08T00:00:00,2619.9,65.096501
1988-04-11T00:00:00,2651,68.205932
1988-04-12T00:00:00,2635.9,65.170208
1988-04-13T00:00:00,2671.2,68.679731
1988-04-14T00:00:00,2684.1,69.87436
1988-04-15T00:00:00,2599,54.976894
1988-04-18T00:00:00,2552,48.789929
1988-04-19T00:00:00,2593.9,53.783336
1988-04-20T00:00:00,2578.4,51.772203
1988-04-21T00:00:00,2552.7,48.531756
1988-04-22T00:00:00,2591.4,53.274452
1988-04-25T00:00:00,2623.8,56.858698
1988-04-26T00:00:00,2586,51.860519
1988-04-27T00:00:00,2592,52.57318
1988-04-28T00:00:00,2588.1,52.03396
1988-04-29T00:00:00,2602.9,53.963639
1988-05-02T00:00:00,2589.9,51.985311
1988-05-03T00:00:00,2602.6,53.768431
1988-05-04T00:00:00,2641.1,58.767487
1988-05-05T00:00:00,2577.9,49.336471
1988-05-06T00:00:00,2571.7,48.51395
1988-05-09T00:00:00,2584,50.28474
1988-05-10T00:00:00,2563,47.293976
1988-05-11T00:00:00,2534.4,43.499421
1988-05-12T00:00:00,2508.9,40.38795
1988-05-13T00:00:00,2532.6,44.370663
1988-05-16T00:00:00,2538,45.26792
1988-05-17T00:00:00,2533.6,44.636172
1988-05-18T00:00:00,2533.3,44.590479
1988-05-19T00:00:00,2506.8,40.633573
1988-05-20T00:00:00,2491.2,38.469397
1988-05-23T00:00:00,2490.2,38.328472
1988-05-24T00:00:00,2516.2,44.065793
1988-05-25T00:00:00,2528,46.498468
1988-05-26T00:00:00,2520.5,45.154252
1988-05-27T00:00:00,2513.7,43.914677
1988-05-30T00:00:00,2488.9,39.640608
1988-05-31T00:00:00,2496.7,41.566884
1988-06-01T00:00:00,2516.2,46.190261
1988-06-02T00:00:00,2546.8,52.536694
1988-06-03T00:00:00,2568.3,56.425391
1988-06-06T00:00:00,2590.4,60.048777
1988-06-07T00:00:00,2587,59.232732
1988-06-08T00:00:00,2609,62.75933
1988-06-09T00:00:00,2640.8,67.17896
1988-06-10T00:00:00,2647.4,68.02707
1988-06-14T00:00:00,2672.7,71.109007
1988-06-15T00:00:00,2699.6,73.980791
1988-06-16T00:00:00,2693.5,72.227499
1988-06-17T00:00:00,2718,74.809697
1988-06-20T00:00:00,2719,74.912228
1988-06-21T00:00:00,2683.6,64.849487
1988-06-22T00:00:00,2703.7,67.517514
1988-06-23T00:00:00,2712.2,68.602832
1988-06-24T00:00:00,2707.6,67.292451
1988-06-27T00:00:00,2689.7,62.305219
1988-06-28T00:00:00,2661.5,55.346003
1988-06-29T00:00:00,2648.2,52.374714
1988-06-30T00:00:00,2671.5,56.754826
1988-07-01T00:00:00,2684.6,59.035958
1988-07-04T00:00:00,2687.6,59.562019
1988-07-05T00:00:00,2681.9,58.036993
1988-07-06T00:00:00,2737.5,66.931259
1988-07-07T00:00:00,2759.6,69.68198
1988-07-08T00:00:00,2752.9,67.839599
1988-07-11T00:00:00,2759.6,68.729972
1988-07-12T00:00:00,2772.5,70.427578
1988-07-13T00:00:00,2744.9,62.597443
1988-07-14T00:00:00,2753,63.86711
1988-07-15T00:00:00,2740.7,60.508133
1988-07-18T00:00:00,2711.4,53.314879
1988-07-19T00:00:00,2677.8,46.489554
1988-07-20T00:00:00,2697.5,50.491458
1988-07-21T00:00:00,2687.4,48.489232
1988-07-22T00:00:00,2661.8,43.753261
1988-07-25T00:00:00,2647.4,41.309169
1988-07-26T00:00:00,2655.6,43.253119
1988-07-27T00:00:00,2665.2,45.527857
1988-07-28T00:00:00,2663.5,45.182457
1988-07-29T00:00:00,2678.9,48.960017
1988-08-01T00:00:00,2703.4,54.349724
1988-08-02T00:00:00,2701.1,53.775626
1988-08-03T00:00:00,2692.6,51.606094
1988-08-04T00:00:00,2677.4,47.885646
1988-08-05T00:00:00,2671.2,46.415731
1988-08-08T00:00:00,2659.1,43.602675
