@relation QueryResult_rsi1_rsi2_rsi3_rsi4_rsi5_rsi6_rsi7_rsi8_rsi9_rsi10_rsi11_rsi12_rsi13_rsi14_rsi15_rsi16_rsi17_rsi18_rsi19_rsi20_rsi21_rsi22_rsi23_rsi24_rsi25_rsi26_rsi27_rsi28_rsi29_rsi30_rsi31_rsi32_rsi33_rsi34_rsi35_rsi36_rsi37_rsi38_rsi39_rsi40_rsi41_rsi42_rsi43_rsi44_rsi45_rsi46_rsi47_rsi48_rsi49_rsi50

@attribute Date date 'yyyy-MM-dd\'T\'HH:mm:ss'
@attribute Adj_C numeric
@attribute rsi1 numeric
@attribute rsi2 numeric
@attribute rsi3 numeric
@attribute rsi4 numeric
@attribute rsi5 numeric
@attribute rsi6 numeric
@attribute rsi7 numeric
@attribute rsi8 numeric
@attribute rsi9 numeric
@attribute rsi10 numeric
@attribute rsi11 numeric
@attribute rsi12 numeric
@attribute rsi13 numeric
@attribute rsi14 numeric
@attribute rsi15 numeric
@attribute rsi16 numeric
@attribute rsi17 numeric
@attribute rsi18 numeric
@attribute rsi19 numeric
@attribute rsi20 numeric
@attribute rsi21 numeric
@attribute rsi22 numeric
@attribute rsi23 numeric
@attribute rsi24 numeric
@attribute rsi25 numeric
@attribute rsi26 numeric
@attribute rsi27 numeric
@attribute rsi28 numeric
@attribute rsi29 numeric
@attribute rsi30 numeric
@attribute rsi31 numeric
@attribute rsi32 numeric
@attribute rsi33 numeric
@attribute rsi34 numeric
@attribute rsi35 numeric
@attribute rsi36 numeric
@attribute rsi37 numeric
@attribute rsi38 numeric
@attribute rsi39 numeric
@attribute rsi40 numeric
@attribute rsi41 numeric
@attribute rsi42 numeric
@attribute rsi43 numeric
@attribute rsi44 numeric
@attribute rsi45 numeric
@attribute rsi46 numeric
@attribute rsi47 numeric
@attribute rsi48 numeric
@attribute rsi49 numeric
@attribute rsi50 numeric

@data
1987-02-11T00:00:00,2739.5,0,2725.016894,2714.848533,2704.934101,2695.046683,2685.476624,2676.485856,2668.180999,2660.634711,2653.847987,2647.826836,2642.549901,2638.424424,2635.029817,2631.323282,2627.956094,2625.448445,2623.481333,2621.033548,2618.194298,2614.835016,2611.16138,2606.917157,2601.930894,2597.201214,2591.537565,2586.835979,2580.964286,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1987-02-12T00:00:00,2754.7,0,2744.805631,2734.774267,2724.840461,2714.931122,2705.254732,2696.039392,2687.407444,2679.447768,2672.184716,2665.63903,2659.803762,2655.035221,2650.985842,2646.745372,2642.867142,2639.809729,2637.293824,2634.400193,2631.194841,2627.550015,2623.642999,2619.232394,2614.152423,2609.316506,2603.623671,2598.826266,2592.946059,2586.955172,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1987-02-13T00:00:00,2740.5,0,2741.93521,2737.637133,2731.104276,2723.454081,2715.324808,2707.154544,2699.205789,2691.658215,2684.605677,2678.115858,2672.218568,2667.244475,2662.921063,2658.4647,2654.35336,2650.997537,2648.157632,2645.010174,2641.604856,2637.818195,2633.804477,2629.338028,2624.260229,2619.407544,2613.762658,2608.945818,2603.122193,2597.191494,2592.073333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1987-02-16T00:00:00,2766.1,0,2758.04507,2751.868567,2745.102566,2737.669388,2729.832006,2721.890908,2714.07117,2706.546572,2699.422827,2692.779882,2686.661865,2681.366693,2676.678254,2671.919113,2667.500024,2663.786699,2660.572618,2657.119156,2653.461537,2649.480178,2645.308436,2640.734859,2635.607411,2630.691579,2625.046906,2620.171117,2614.362042,2608.452061,2603.30086,2597.687097,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1987-02-17T00:00:00,2792.1,0,2780.748357,2771.984283,2763.901539,2755.812925,2747.622861,2739.443181,2731.41091,2723.657257,2716.273222,2709.333235,2702.883117,2697.185737,2692.067821,2686.941724,2682.158845,2678.043733,2674.417606,2670.617241,2666.6652,2662.445616,2658.07292,2653.348621,2648.126818,2643.107611,2637.421209,2632.451752,2626.619832,2620.695257,2615.48145,2609.837903,2603.7625,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1987-02-18T00:00:00,2801.5,0,2794.582786,2786.742142,2778.940924,2771.04195,2763.01633,2754.957386,2746.986263,2739.225806,2731.769,2724.694362,2718.054945,2712.087774,2706.658778,2701.261508,2696.198981,2691.761096,2687.7947,2683.705516,2679.506609,2675.086924,2670.54484,2665.694569,2660.396672,2655.291641,2649.575194,2644.526627,2638.680533,2632.748907,2627.482647,2621.816784,2615.746591,2609.754545,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1987-02-19T00:00:00,2775.8,0,2782.060929,2781.271071,2777.684554,2772.627967,2766.668807,2760.168039,2753.389316,2746.540645,2739.774636,2733.211969,2726.938799,2721.189521,2715.877607,2710.57882,2705.563806,2701.098752,2697.058416,2692.914965,2688.677409,2684.242658,2679.697462,2674.870022,2669.628939,2664.561515,2658.925179,2653.903296,2648.137048,2642.285646,2637.051508,2631.440735,2625.446798,2619.521925,2614.638235,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1987-02-20T00:00:00,2827.4,0,2812.286976,2804.335535,2797.570733,2790.885311,2784.020576,2776.976029,2769.836134,2762.712516,2755.70652,2748.909974,2742.394369,2736.362446,2730.74726,2725.181467,2719.897476,2715.132224,2710.778582,2706.363468,2701.889084,2697.256962,2692.541161,2687.580853,2682.250624,2677.087552,2671.404796,2666.295918,2660.50001,2654.626603,2649.332056,2643.688189,2637.686386,2631.750047,2626.79605,2620.717143,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1987-02-23T00:00:00,2879,0,2856.762325,2841.667768,2830.14244,2820.256874,2811.157554,2802.482022,2794.094771,2785.970013,2778.123517,2770.591645,2763.41062,2756.73924,2750.514292,2744.408784,2738.61542,2733.339755,2728.4861,2723.627122,2718.75679,2713.779056,2708.754973,2703.532449,2697.990574,2692.619279,2686.782218,2681.489067,2675.568975,2669.58483,2664.149343,2658.395177,2652.311453,2646.294162,2641.207705,2635.06619,2627.891667,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1987-02-24T00:00:00,2848.2,0,2851.054108,2844.933884,2837.365464,2829.571249,2821.74111,2813.911517,2806.118155,2798.41601,2790.864695,2783.526371,2776.45514,2769.805063,2763.539053,2757.382686,2751.507724,2746.102004,2741.087563,2736.084409,2731.084715,2725.999142,2720.880628,2715.588078,2710.007328,2704.587027,2698.739091,2693.39699,2687.474563,2681.492508,2676.023579,2670.257979,2664.183486,2658.170976,2653.035836,2646.906958,2639.800225,2633.845946,0,0,0,0,0,0,0,0,0,0,0,0,0
